DISTRICT,STATION,TEMP,RH,WBGT,EHI,EHI_REGION,EHI_350 (shaded),REGION_350 (shaded),LOGGED_AT,LOGGED_AT (PST),EHI_350 (in shade),REGION_350 (in shade),Light Work Heat Stress Zone,,Hard Labor Heat Stress Zone,LOGGED_AT (IST),2025-05-03 08:27:28CENTRAL_DELHIPRAGATI_MAIDAN25.386.0,2025-05-03 08:27:28,CENTRAL_DELHI,PRAGATI_MAIDAN,25.3,86.0,27.4Zone 4,27.4,Zone 4,57.3Zone 5,57.3,Zone 5,2025-05-03 08:31:46CENTRAL_DELHIPRAGATI_MAIDAN25.386.0,2025-05-03 08:31:46
DELHI,IGNOU,23.0,99.0,,24.7,,,,,,52.5,,Region 2 or 3,,Region 5,2025-05-03 04:39:28,,,,,,,,,,,,,,
SOUTH_WEST_DELHI,NAJAFGARH,23.0,100.0,,24.8,,,,,,53.3,,Region 2 or 3,,Region 5,2025-05-03 04:39:28,,,,,,,,,,,,,,
NORTH_WEST_DELHI,MUNGESHPUR,22.1,87.0,,23.3,,,,,,38.0,,Region 2 or 3,,Region 4,2025-05-03 04:39:28,,,,,,,,,,,,,,
NORTH_DELHI,DELHI_UNIVERSITY,22.3,91.0,,23.7,,,,,,41.7,,Region 2 or 3,,Region 5,2025-05-03 04:39:28,,,,,,,,,,,,,,
GURGAON,NORTHCAP_UNIVERSITY,22.2,100.0,,23.9,,,,,,47.7,,Region 2 or 3,,Region 5,2025-05-03 04:39:28,,,,,,,,,,,,,,
GAZIABAD,KV_KAMALA_NEHRU_NAGAR,22.2,100.0,,23.9,,,,,,47.7,,Region 2 or 3,,Region 5,2025-05-03 04:39:28,,,,,,,,,,,,,,
NEW_DELHI,LODI ROAD,23.1,14.0,,20.6,,,,,,32.6,,Region 2 or 3,,Region 4,2025-05-03 04:39:28,,,,,,,,,,,,,,
EAST_DELHI,SALWAN_PUBLIC_SCHOOL,22.8,99.0,,24.5,,,,,,51.1,,Region 2 or 3,,Region 5,2025-05-03 04:39:28,,,,,,,,,,,,,,
DELHI,PHARMA_SCIENCE_AND_RESEARCH_UN,25.0,95.0,,27.6,,,,,,59.9,,Region 4,,Region 5,2025-05-03 04:39:28,,,,,,,,,,,,,,
DELHI,KV_NARAYNA,22.4,100.0,,24.1,,,,,,49.1,,Region 2 or 3,,Region 5,2025-05-03 04:39:28,,,,,,,,,,,,,,
DELHI,KV_JANAKPURI,23.2,98.0,,24.9,,,,,,53.1,,Region 2 or 3,,Region 5,2025-05-03 04:39:28,,,,,,,,,,,,,,
DELHI,KVK_CRPF_CAMPUS,22.5,97.0,,24.1,,,,,,47.4,,Region 2 or 3,,Region 5,2025-05-03 04:39:28,,,,,,,,,,,,,,
GAZIABAD,KV2_AIRFORCE_HINDON,21.6,100.0,,23.3,,,,,,43.6,,Region 2 or 3,,Region 5,2025-05-03 04:39:28,,,,,,,,,,,,,,
GURGAON,NORTHCAP_UNIVERSITY,24.1,100.0,,26.3,,,,,,59.4,,Region 4,,Region 5,2025-05-03 06:39:52,,,,,,,,,,,,,,
SOUTH_WEST_DELHI,NAJAFGARH,23.3,100.0,,25.1,,,,,,55.3,,Region 2 or 3,,Region 5,2025-05-03 06:39:52,,,,,,,,,,,,,,
NORTH_WEST_DELHI,MUNGESHPUR,22.5,88.0,,23.8,,,,,,40.7,,Region 2 or 3,,Region 5,2025-05-03 06:39:52,,,,,,,,,,,,,,
NORTH_DELHI,DELHI_UNIVERSITY,23.2,90.0,,24.6,,,,,,46.7,,Region 2 or 3,,Region 5,2025-05-03 06:39:52,,,,,,,,,,,,,,
NEW_DELHI,LODI ROAD,23.6,15.0,,21.3,,,,,,33.1,,Region 2 or 3,,Region 4,2025-05-03 06:39:52,,,,,,,,,,,,,,
GAZIABAD,KV_KAMALA_NEHRU_NAGAR,22.7,100.0,,24.5,,,,,,51.2,,Region 2 or 3,,Region 5,2025-05-03 06:39:52,,,,,,,,,,,,,,
DELHI,KV_JANAKPURI,24.0,100.0,,26.1,,,,,,59.2,,Region 4,,Region 5,2025-05-03 06:39:52,,,,,,,,,,,,,,
EAST_DELHI,SALWAN_PUBLIC_SCHOOL,23.1,99.0,,24.8,,,,,,53.2,,Region 2 or 3,,Region 5,2025-05-03 06:39:52,,,,,,,,,,,,,,
DELHI,PHARMA_SCIENCE_AND_RESEARCH_UN,25.2,99.0,,28.3,,,,,,61.1,,Region 4,,Region 5,2025-05-03 06:39:52,,,,,,,,,,,,,,
DELHI,KV_NARAYNA,22.7,100.0,,24.5,,,,,,51.2,,Region 2 or 3,,Region 5,2025-05-03 06:39:52,,,,,,,,,,,,,,
DELHI,KVK_CRPF_CAMPUS,23.2,97.0,,24.9,,,,,,52.3,,Region 2 or 3,,Region 5,2025-05-03 06:39:52,,,,,,,,,,,,,,
DELHI,IGNOU,23.9,100.0,,26.0,,,,,,59.0,,Region 4,,Region 5,2025-05-03 06:39:52,,,,,,,,,,,,,,
GAZIABAD,KV2_AIRFORCE_HINDON,22.2,100.0,,23.9,,,,,,47.7,,Region 2 or 3,,Region 5,2025-05-03 06:39:52,,,,,,,,,,,,,,
NEW_DELHI,LODI ROAD,23.6,15.0,,21.3,,,,,,33.1,,Region 2 or 3,,Region 4,2025-05-03 06:42:54,,,,,,,,,,,,,,
SOUTH_WEST_DELHI,NAJAFGARH,23.3,100.0,,25.1,,,,,,55.3,,Region 2 or 3,,Region 5,2025-05-03 06:42:54,,,,,,,,,,,,,,
NORTH_WEST_DELHI,MUNGESHPUR,22.5,88.0,,23.8,,,,,,40.7,,Region 2 or 3,,Region 5,2025-05-03 06:42:54,,,,,,,,,,,,,,
NORTH_DELHI,DELHI_UNIVERSITY,23.2,90.0,,24.6,,,,,,46.7,,Region 2 or 3,,Region 5,2025-05-03 06:42:54,,,,,,,,,,,,,,
GAZIABAD,KV_KAMALA_NEHRU_NAGAR,22.7,100.0,,24.5,,,,,,51.2,,Region 2 or 3,,Region 5,2025-05-03 06:42:54,,,,,,,,,,,,,,
GURGAON,NORTHCAP_UNIVERSITY,24.1,100.0,,26.3,,,,,,59.4,,Region 4,,Region 5,2025-05-03 06:42:54,,,,,,,,,,,,,,
EAST_DELHI,SALWAN_PUBLIC_SCHOOL,23.1,99.0,,24.8,,,,,,53.2,,Region 2 or 3,,Region 5,2025-05-03 06:42:54,,,,,,,,,,,,,,
GAZIABAD,KV2_AIRFORCE_HINDON,22.2,100.0,,23.9,,,,,,47.7,,Region 2 or 3,,Region 5,2025-05-03 06:42:54,,,,,,,,,,,,,,
DELHI,PHARMA_SCIENCE_AND_RESEARCH_UN,25.2,99.0,,28.3,,,,,,61.1,,Region 4,,Region 5,2025-05-03 06:42:54,,,,,,,,,,,,,,
DELHI,KV_JANAKPURI,24.0,100.0,,26.1,,,,,,59.2,,Region 4,,Region 5,2025-05-03 06:42:54,,,,,,,,,,,,,,
DELHI,KVK_CRPF_CAMPUS,23.2,97.0,,24.9,,,,,,52.3,,Region 2 or 3,,Region 5,2025-05-03 06:42:54,,,,,,,,,,,,,,
DELHI,IGNOU,23.9,100.0,,26.0,,,,,,59.0,,Region 4,,Region 5,2025-05-03 06:42:54,,,,,,,,,,,,,,
NORTH_WEST_DELHI,MUNGESHPUR,22.5,88.0,,23.8,,,,,,40.7,,Region 2 or 3,,Region 5,2025-05-03 06:46:38,,,,,,,,,,,,,,
NORTH_DELHI,DELHI_UNIVERSITY,23.2,90.0,,24.6,,,,,,46.7,,Region 2 or 3,,Region 5,2025-05-03 06:46:38,,,,,,,,,,,,,,
NEW_DELHI,LODI ROAD,23.6,15.0,,21.3,,,,,,33.1,,Region 2 or 3,,Region 4,2025-05-03 06:46:38,,,,,,,,,,,,,,
GURGAON,NORTHCAP_UNIVERSITY,24.1,100.0,,26.3,,,,,,59.4,,Region 4,,Region 5,2025-05-03 06:46:38,,,,,,,,,,,,,,
GAZIABAD,KV_KAMALA_NEHRU_NAGAR,22.7,100.0,,24.5,,,,,,51.2,,Region 2 or 3,,Region 5,2025-05-03 06:46:38,,,,,,,,,,,,,,
SOUTH_WEST_DELHI,NAJAFGARH,23.3,100.0,,25.1,,,,,,55.3,,Region 2 or 3,,Region 5,2025-05-03 06:46:38,,,,,,,,,,,,,,
EAST_DELHI,SALWAN_PUBLIC_SCHOOL,23.1,99.0,,24.8,,,,,,53.2,,Region 2 or 3,,Region 5,2025-05-03 06:46:38,,,,,,,,,,,,,,
DELHI,PHARMA_SCIENCE_AND_RESEARCH_UN,25.2,99.0,,28.3,,,,,,61.1,,Region 4,,Region 5,2025-05-03 06:46:38,,,,,,,,,,,,,,
DELHI,KV_JANAKPURI,24.0,100.0,,26.1,,,,,,59.2,,Region 4,,Region 5,2025-05-03 06:46:38,,,,,,,,,,,,,,
DELHI,KVK_CRPF_CAMPUS,23.2,97.0,,24.9,,,,,,52.3,,Region 2 or 3,,Region 5,2025-05-03 06:46:38,,,,,,,,,,,,,,
DELHI,IGNOU,23.9,100.0,,26.0,,,,,,59.0,,Region 4,,Region 5,2025-05-03 06:46:38,,,,,,,,,,,,,,
