DISTRICT,STATION,TEMP,RH,EHI,Light Work Heat Stress Zone,Unnamed: 6,EHI_350 (in shade),Hard Labor Heat Stress Zone,LOGGED_AT (IST),EHI (in shade),Local Region,EHI_3_shade,Zone_3_shade,EHI_3_sun,Zone_3_sun,EHI_4_shade,Zone_4_shade,EHI_4_sun,Zone_4_sun,EHI_5_shade,Zone_5_shade,EHI_5_sun,Zone_5_sun,EHI_6_shade,Zone_6_shade,EHI_6_sun,Zone_6_sun,EHI_350 (in shade °C)
CENTRAL_DELHI,PUSA_AMFU,26.2,64.0,27.2,Region 4,,42.9,Zone 5,2025-05-05 00:37:28,,,26.9,Zone 4,27.9,Zone 4,32.3,Zone 4,33.0,Zone 4,37.4,Zone 4,46.2,Zone 5,44.5,Zone 5,51.2,Zone 5,44.5
SOUTH_WEST_DELHI,NAJAFGARH,24.1,100.0,26.3,Region 4,,59.4,Zone 5,2025-05-05 00:37:28,,,26.1,Zone 4,29.0,Zone 4,32.9,Zone 4,47.5,Zone 5,45.9,Zone 5,52.6,Zone 5,59.8,Zone 5,56.3,Zone 5,59.8
NORTH_WEST_DELHI,PITAMPURA,26.9,73.0,29.0,Region 4,,55.9,Zone 5,2025-05-05 00:37:28,,,29.1,Zone 4,31.1,Zone 4,35.2,Zone 4,44.7,Zone 5,41.9,Zone 5,51.4,Zone 5,58.8,Zone 5,55.3,Zone 5,58.8
NORTH_WEST_DELHI,MUNGESHPUR,23.6,76.0,24.5,Region 2 or 3,,39.1,Zone 5,2025-05-05 00:37:28,,,24.4,Zone 3,25.2,Zone 4,29.8,Zone 4,30.5,Zone 4,34.9,Zone 4,41.5,Zone 5,40.4,Zone 5,50.1,Zone 5,40.4
NORTH_DELHI,DELHI_UNIVERSITY,25.9,63.0,26.7,Region 4,,41.0,Zone 5,2025-05-05 00:37:28,,,26.9,Zone 4,27.7,Zone 4,32.2,Zone 4,32.9,Zone 4,37.2,Zone 4,45.3,Zone 5,43.6,Zone 5,51.0,Zone 5,43.6
NEW_DELHI,LODI ROAD,27.8,58.0,29.0,Region 4,,46.3,Zone 5,2025-05-05 00:37:28,,,29.3,Zone 4,30.3,Zone 4,34.7,Zone 4,35.5,Zone 4,39.7,Zone 4,48.5,Zone 5,50.3,Zone 5,52.8,Zone 5,50.3
GURGAON,NORTHCAP_UNIVERSITY,26.9,54.0,27.5,Region 4,,41.0,Zone 4,2025-05-05 00:37:28,,,27.6,Zone 4,28.1,Zone 4,32.7,Zone 4,33.0,Zone 4,37.4,Zone 4,42.5,Zone 5,41.9,Zone 4,50.1,Zone 5,41.9
GAZIABAD,KV_KAMALA_NEHRU_NAGAR,25.7,60.0,26.3,Region 4,,40.2,Zone 4,2025-05-05 00:37:28,,,26.0,Zone 4,26.6,Zone 4,31.2,Zone 4,31.6,Zone 4,36.1,Zone 4,39.7,Zone 5,40.6,Zone 4,49.4,Zone 5,40.6
NEW_DELHI,SPORTS_COMPLEX,28.1,70.0,30.7,Region 4,,59.3,Zone 5,2025-05-05 00:37:28,,,30.5,Zone 4,32.6,Zone 4,36.6,Zone 4,47.4,Zone 5,45.7,Zone 5,52.4,Zone 5,59.8,Zone 5,56.2,Zone 5,59.8
EAST_DELHI,SALWAN_PUBLIC_SCHOOL,27.2,53.0,27.8,Region 4,,41.3,Zone 4,2025-05-05 00:37:28,,,27.5,Zone 4,28.0,Zone 4,32.6,Zone 4,32.8,Zone 4,37.3,Zone 4,41.5,Zone 5,41.7,Zone 4,49.8,Zone 5,41.7
DELHI,PHARMA_SCIENCE_AND_RESEARCH_UN,29.5,52.0,30.9,Region 4,,49.7,Zone 5,2025-05-05 00:37:28,,,30.9,Zone 4,31.8,Zone 4,36.1,Zone 4,37.6,Zone 5,41.1,Zone 4,49.1,Zone 5,52.4,Zone 5,53.3,Zone 5,52.4
DELHI,KV_NARAYNA,26.1,56.0,26.6,Region 4,,40.1,Zone 4,2025-05-05 00:37:28,,,26.5,Zone 4,26.9,Zone 4,31.5,Zone 4,31.8,Zone 4,36.3,Zone 4,38.8,Zone 5,40.7,Zone 4,49.1,Zone 5,40.7
DELHI,KV_JANAKPURI,26.3,58.0,27.0,Region 4,,40.8,Zone 4,2025-05-05 00:37:28,,,27.2,Zone 4,27.9,Zone 4,32.4,Zone 4,32.9,Zone 4,37.3,Zone 4,43.5,Zone 5,41.9,Zone 4,50.4,Zone 5,41.9
DELHI,KVK_CRPF_CAMPUS,23.8,76.0,24.7,Region 2 or 3,,39.5,Zone 5,2025-05-05 00:37:28,,,25.0,Zone 3,26.0,Zone 4,30.5,Zone 4,31.4,Zone 4,35.7,Zone 4,44.5,Zone 5,43.2,Zone 5,50.9,Zone 5,43.2
DELHI,IGNOU,28.1,55.0,29.1,Region 4,,44.9,Zone 5,2025-05-05 00:37:28,,,29.0,Zone 4,29.8,Zone 4,34.3,Zone 4,34.9,Zone 4,39.1,Zone 4,47.5,Zone 5,47.1,Zone 5,51.9,Zone 5,47.1
GAZIABAD,KV2_AIRFORCE_HINDON,25.4,65.0,26.2,Region 4,,40.5,Zone 5,2025-05-05 00:37:28,,,26.3,Zone 4,27.2,Zone 4,31.7,Zone 4,32.3,Zone 4,36.7,Zone 4,44.2,Zone 5,42.6,Zone 5,50.7,Zone 5,42.6
GURGAON,NORTHCAP_UNIVERSITY,25.7,57.0,26.1,Region 4,,39.7,Zone 4,2025-05-05 01:40:00,,,25.9,Zone 4,26.3,Zone 4,31.0,Zone 4,31.2,Zone 4,35.7,Zone 4,37.0,Zone 5,40.1,Zone 4,48.6,Zone 5,40.1
SOUTH_WEST_DELHI,NAJAFGARH,23.3,100.0,25.1,Region 2 or 3,,55.3,Zone 5,2025-05-05 01:40:00,,,25.3,Zone 3,27.8,Zone 4,31.9,Zone 4,44.0,Zone 5,42.0,Zone 5,51.5,Zone 5,58.9,Zone 5,55.4,Zone 5,58.9
NORTH_WEST_DELHI,PITAMPURA,25.8,79.0,27.7,Region 4,,54.5,Zone 5,2025-05-05 01:40:00,,,28.0,Zone 4,30.1,Zone 4,34.2,Zone 4,43.5,Zone 5,41.0,Zone 5,51.1,Zone 5,58.1,Zone 5,55.1,Zone 5,58.1
NORTH_WEST_DELHI,MUNGESHPUR,22.8,77.0,23.7,Region 2 or 3,,37.9,Zone 4,2025-05-05 01:40:00,,,23.9,Zone 3,24.5,Zone 4,29.2,Zone 4,29.8,Zone 4,34.2,Zone 4,39.2,Zone 5,39.1,Zone 4,49.5,Zone 5,39.1
