LOGGED_AT (IST),DISTRICT,STATION,Local Region,TEMP,RH,EHI (in shade),Light Work Heat Stress Zone,EHI_350 (in shade),Hard Labor Heat Stress Zone,EHI,EHI_3_shade,Zone_3_shade,EHI_3_sun,Zone_3_sun,EHI_4_shade,Zone_4_shade,EHI_4_sun,Zone_4_sun,EHI_5_shade,Zone_5_shade,EHI_5_sun,Zone_5_sun,EHI_6_shade,Zone_6_shade,EHI_6_sun,Zone_6_sun,EHI_350 (in shade °C)
2025-05-12 00:36:50,DELHI,IGNOU,Maidan Garhi,29.1,46.0,29.7,Zone 4,42.9,Zone 4,,29.5,Zone 4,29.9,Zone 4,34.5,Zone 4,34.7,Zone 4,39.1,Zone 4,45.1,Zone 5,43.4,Zone 4,50.7,Zone 5,43.4
2025-05-12 00:36:50,SOUTH_WEST_DELHI,NAJAFGARH,Najafgarh,28.4,55.0,29.6,Zone 4,46.6,Zone 5,,29.7,Zone 4,30.7,Zone 4,35.0,Zone 4,35.7,Zone 4,40.0,Zone 4,48.4,Zone 5,50.0,Zone 5,52.7,Zone 5,50.0
2025-05-12 00:36:50,NORTH_WEST_DELHI,PITAMPURA,Pitampura,31.2,48.0,32.9,Zone 4,54.7,Zone 5,,32.6,Zone 4,33.6,Zone 4,37.8,Zone 4,42.1,Zone 5,42.7,Zone 4,50.3,Zone 5,56.0,Zone 5,54.3,Zone 5,56.0
2025-05-12 00:36:50,NORTH_WEST_DELHI,NARELA,Unknown Station,26.7,65.0,28.0,Zone 4,46.8,Zone 5,,27.7,Zone 4,28.8,Zone 4,33.2,Zone 4,34.1,Zone 4,38.4,Zone 4,47.9,Zone 5,48.4,Zone 5,52.3,Zone 5,48.4
2025-05-12 00:36:50,NORTH_WEST_DELHI,MUNGESHPUR,Mungeshpur,26.8,64.0,28.1,Zone 4,46.5,Zone 5,,28.3,Zone 4,29.6,Zone 4,33.9,Zone 4,35.1,Zone 5,39.1,Zone 4,48.6,Zone 5,50.5,Zone 5,52.9,Zone 5,50.5
2025-05-12 00:36:50,NEW_DELHI,SPORTS_COMPLEX,Unknown Station,32.3,47.0,34.5,Zone 4,59.1,Zone 5,,34.8,Zone 4,36.2,Zone 4,40.2,Zone 4,47.6,Zone 5,46.6,Zone 5,52.5,Zone 5,60.0,Zone 5,56.3,Zone 5,60.0
2025-05-12 00:36:50,NEW_DELHI,LODI ROAD,Lodhi Road,30.1,43.0,30.7,Zone 4,43.8,Zone 5,,30.5,Zone 4,30.9,Zone 4,35.4,Zone 4,35.6,Zone 4,40.0,Zone 4,46.7,Zone 5,44.7,Zone 5,51.1,Zone 5,44.7
2025-05-12 00:36:50,GURGAON,NORTHCAP_UNIVERSITY,"Sector 23A, Gurugram",26.7,59.0,27.5,Zone 4,41.6,Zone 5,,27.3,Zone 4,28.0,Zone 4,32.5,Zone 4,33.0,Zone 4,37.4,Zone 4,44.5,Zone 5,42.7,Zone 5,50.7,Zone 5,42.7
2025-05-12 00:36:50,NORTH_DELHI,DELHI_UNIVERSITY,North Campus,30.5,39.0,30.8,Zone 4,43.4,Zone 4,,30.8,Zone 4,30.9,Zone 4,35.5,Zone 4,35.5,Zone 4,39.9,Zone 4,45.0,Zone 5,44.1,Zone 4,50.5,Zone 5,44.1
2025-05-12 00:36:50,GAZIABAD,KV2_AIRFORCE_HINDON,"Air Force Station, Ghaziabad",31.0,32.0,30.6,Zone 4,42.6,Zone 4,,30.6,Zone 4,30.4,Zone 4,35.1,Zone 4,34.7,Zone 4,39.2,Zone 4,39.0,Zone 5,43.2,Zone 4,48.7,Zone 5,43.2
2025-05-12 00:36:50,EAST_DELHI,SALWAN_PUBLIC_SCHOOL,Mayur Vihar-III,31.0,28.0,30.2,Zone 4,41.7,Zone 4,,30.2,Zone 4,29.7,Zone 4,34.5,Zone 4,33.8,Zone 4,38.5,Zone 4,37.8,Zone 4,42.4,Zone 4,47.2,Zone 5,42.4
2025-05-12 00:36:50,DELHI,PHARMA_SCIENCE_AND_RESEARCH_UN,Unknown Station,31.3,42.0,32.2,Zone 4,47.6,Zone 5,,32.5,Zone 4,33.1,Zone 4,37.4,Zone 4,37.8,Zone 4,42.1,Zone 4,48.8,Zone 5,51.4,Zone 5,53.0,Zone 5,51.4
2025-05-12 00:36:50,DELHI,KV_NARAYNA,"Naraina, New Delhi",29.2,39.0,29.2,Zone 4,41.6,Zone 4,,28.9,Zone 4,28.9,Zone 4,33.6,Zone 4,33.3,Zone 4,37.9,Zone 4,37.5,Zone 4,42.0,Zone 4,48.4,Zone 5,42.0
