LOGGED_AT (IST),DISTRICT,STATION,Local Region,TEMP,RH,EHI (in shade),Light Work Heat Stress Zone,EHI_350 (in shade),Hard Labor Heat Stress Zone,STATE,EHI (in shade °C),EHI_350 (in shade °C),EHI_3_shade,Zone_3_shade,EHI_3_sun,Zone_3_sun,EHI_4_shade,Zone_4_shade,EHI_4_sun,Zone_4_sun,EHI_5_shade,Zone_5_shade,EHI_5_sun,Zone_5_sun,EHI_6_shade,Zone_6_shade,EHI_6_sun,Zone_6_sun
2025-05-19 00:37:17,GAZIABAD,KV2_AIRFORCE_HINDON,"Air Force Station, Ghaziabad",30.8,70.0,36.4,Zone 4,63.6,Zone 5,,36.1,63.9,36.1,Zone 4,62.9,Zone 5,46.3,Zone 5,65.6,Zone 5,60.6,Zone 5,67.6,Zone 5,63.9,Zone 5,69.1,Zone 5
2025-05-19 00:37:17,CENTRAL_DELHI,PUSA_AMFU,Unknown Station,31.3,69.0,37.4,Zone 4,64.2,Zone 5,,37.1,64.5,37.1,Zone 4,63.5,Zone 5,49.5,Zone 5,66.1,Zone 5,61.3,Zone 5,68.0,Zone 5,64.5,Zone 5,69.6,Zone 6
2025-05-19 00:37:17,DELHI,KVK_CRPF_CAMPUS,Jharoda Kalan,32.6,53.0,36.3,Zone 4,61.4,Zone 5,,35.5,61.2,35.5,Zone 4,60.1,Zone 5,41.2,Zone 4,63.3,Zone 5,52.9,Zone 5,65.5,Zone 5,61.2,Zone 5,67.3,Zone 5
2025-05-19 00:37:17,DELHI,KV_NARAYNA,"Naraina, New Delhi",30.2,67.0,34.3,Zone 4,61.9,Zone 5,,33.2,61.5,33.2,Zone 4,60.4,Zone 5,39.5,Zone 4,63.5,Zone 5,54.2,Zone 5,65.7,Zone 5,61.5,Zone 5,67.5,Zone 5
2025-05-19 00:37:17,DELHI,PHARMA_SCIENCE_AND_RESEARCH_UN,Unknown Station,34.1,63.0,43.4,Zone 4,66.9,Zone 5,,42.3,66.7,42.3,Zone 4,65.8,Zone 5,59.9,Zone 5,68.1,Zone 5,64.0,Zone 5,70.2,Zone 6,66.7,Zone 5,73.6,Zone 6
2025-05-19 00:37:17,EAST_DELHI,SALWAN_PUBLIC_SCHOOL,Mayur Vihar-III,31.2,64.0,35.9,Zone 4,62.6,Zone 5,,34.8,62.2,34.8,Zone 4,61.2,Zone 5,41.1,Zone 4,64.1,Zone 5,57.5,Zone 5,66.3,Zone 5,62.2,Zone 5,68.0,Zone 5
2025-05-19 00:37:17,GAZIABAD,KV_KAMALA_NEHRU_NAGAR,"Kamla Nehru Nagar, Ghaziabad",30.3,72.0,35.6,Zone 4,63.4,Zone 5,,35.4,63.7,35.4,Zone 4,62.6,Zone 5,44.7,Zone 5,65.4,Zone 5,60.3,Zone 5,67.4,Zone 5,63.7,Zone 5,68.9,Zone 5
2025-05-19 00:37:17,DELHI,KV_JANAKPURI,Janakpuri,31.5,63.0,36.3,Zone 4,62.8,Zone 5,,35.6,62.7,35.6,Zone 4,61.7,Zone 5,42.0,Zone 4,64.6,Zone 5,59.2,Zone 5,66.7,Zone 5,62.7,Zone 5,68.3,Zone 5
2025-05-19 00:37:17,NEW_DELHI,LODI ROAD,Lodhi Road,31.5,69.0,37.9,Zone 4,64.5,Zone 5,,37.1,64.5,37.1,Zone 4,63.5,Zone 5,49.5,Zone 5,66.1,Zone 5,61.3,Zone 5,68.0,Zone 5,64.5,Zone 5,69.6,Zone 6
2025-05-19 00:37:17,NORTH_DELHI,DELHI_UNIVERSITY,North Campus,31.2,68.0,36.8,Zone 4,63.7,Zone 5,,35.6,63.4,35.6,Zone 4,62.3,Zone 5,43.1,Zone 5,65.1,Zone 5,60.0,Zone 5,67.2,Zone 5,63.4,Zone 5,68.7,Zone 5
