LOGGED_AT (IST),STATE,DISTRICT,STATION,TEMP,RH,EHI (in shade °C),Light Work Heat Stress Zone,EHI_350 (in shade °C),Hard Labor Heat Stress Zone,EHI_3_shade,Zone_3_shade,EHI_3_sun,Zone_3_sun,EHI_4_shade,Zone_4_shade,EHI_4_sun,Zone_4_sun,EHI_5_shade,Zone_5_shade,EHI_5_sun,Zone_5_sun,EHI_6_shade,Zone_6_shade,EHI_6_sun,Zone_6_sun
2025-08-18 00:39:49,ANDAMAN_AND_NICOBAR,NICOBAR,CAR_NICOBAR,27.9,86.0,32.0,Zone 4,63.0,Zone 5,32.0,Zone 4,62.0,Zone 5,41.2,Zone 5,64.8,Zone 5,59.5,Zone 5,66.9,Zone 5,63.0,Zone 5,68.5,Zone 5
2025-08-18 00:39:49,MEGHALAYA,WEST_KHASI_HILLS,NONGSTOIN_KVK,19.6,87.0,19.5,Zone 3,33.9,Zone 4,19.5,Zone 3,32.9,Zone 4,24.8,Zone 3,37.4,Zone 4,29.4,Zone 4,49.4,Zone 5,33.9,Zone 4,59.4,Zone 5
2025-08-18 00:39:49,MIZORAM,AIZAWL,MIZORAM_UNIVERSITY,25.0,85.0,26.2,Zone 4,54.3,Zone 5,26.2,Zone 4,49.6,Zone 5,32.4,Zone 4,60.2,Zone 5,38.0,Zone 4,62.9,Zone 5,54.3,Zone 5,65.0,Zone 5
2025-08-18 00:39:49,MIZORAM,CHAMPHAI,CHAMPHAI_AWS,19.1,100.0,19.5,Zone 3,34.2,Zone 4,19.5,Zone 3,33.1,Zone 4,24.7,Zone 3,40.0,Zone 5,29.4,Zone 4,53.7,Zone 5,34.2,Zone 4,60.3,Zone 5
2025-08-18 00:39:49,MIZORAM,HNATHIAL,HNATHIAL,23.8,100.0,25.4,Zone 4,59.1,Zone 5,25.4,Zone 4,55.3,Zone 5,32.2,Zone 4,61.4,Zone 5,42.9,Zone 5,64.0,Zone 5,59.1,Zone 5,65.9,Zone 5
2025-08-18 00:39:49,MIZORAM,KHAWZAWL,KHAWZAWL,20.1,98.0,20.7,Zone 3,35.6,Zone 4,20.7,Zone 3,34.4,Zone 4,25.6,Zone 4,44.2,Zone 5,30.7,Zone 4,57.4,Zone 5,35.6,Zone 4,61.2,Zone 5
2025-08-18 00:39:49,MIZORAM,KOLASIB,KOLASIB,25.6,93.0,27.6,Zone 4,60.3,Zone 5,27.6,Zone 4,59.2,Zone 5,34.5,Zone 4,62.4,Zone 5,48.4,Zone 5,64.8,Zone 5,60.3,Zone 5,66.7,Zone 5
2025-08-18 00:39:49,MIZORAM,LAWNGTLAI,CHAWNHU,21.8,100.0,23.2,Zone 3,46.0,Zone 5,23.2,Zone 3,41.4,Zone 5,28.6,Zone 4,57.0,Zone 5,34.2,Zone 4,61.4,Zone 5,46.0,Zone 5,63.6,Zone 5
2025-08-18 00:39:49,MIZORAM,MAMIT,LENGPUI_KVK,24.5,100.0,26.3,Zone 4,60.0,Zone 5,26.3,Zone 4,58.6,Zone 5,33.2,Zone 4,62.2,Zone 5,47.0,Zone 5,64.6,Zone 5,60.0,Zone 5,66.5,Zone 5
2025-08-18 00:39:49,MIZORAM,SAIHA,SAIHA,21.2,100.0,22.0,Zone 3,39.6,Zone 5,22.0,Zone 3,36.2,Zone 4,27.1,Zone 4,51.3,Zone 5,32.5,Zone 4,60.1,Zone 5,39.6,Zone 5,62.5,Zone 5
2025-08-18 00:39:49,MIZORAM,SERCHHIP,SERCHHIP,22.8,75.0,23.2,Zone 3,37.9,Zone 4,23.2,Zone 3,36.8,Zone 4,28.4,Zone 4,45.8,Zone 5,33.3,Zone 4,58.7,Zone 5,37.9,Zone 4,61.5,Zone 5
2025-08-18 00:39:49,NAGALAND,KIPHIRE,KIPHIRE_AWS400,21.1,98.0,21.9,Zone 3,38.4,Zone 5,21.9,Zone 3,36.0,Zone 4,26.9,Zone 4,50.0,Zone 5,32.3,Zone 4,59.8,Zone 5,38.4,Zone 5,62.3,Zone 5
2025-08-18 00:39:49,NAGALAND,KOHIMA,KOHIMA,21.3,87.0,22.0,Zone 3,36.9,Zone 4,22.0,Zone 3,35.8,Zone 4,27.1,Zone 4,45.8,Zone 5,32.1,Zone 4,58.7,Zone 5,36.9,Zone 4,61.5,Zone 5
2025-08-18 00:39:49,NAGALAND,PEREN,JALUKIE,25.2,100.0,27.2,Zone 4,60.9,Zone 5,27.2,Zone 4,59.8,Zone 5,34.4,Zone 4,63.0,Zone 5,51.3,Zone 5,65.3,Zone 5,60.9,Zone 5,67.1,Zone 5
2025-08-18 00:39:49,NAGALAND,TUENSANG,THONOKNYU,19.0,100.0,19.5,Zone 3,34.2,Zone 4,19.5,Zone 3,33.1,Zone 4,24.7,Zone 3,40.0,Zone 5,29.4,Zone 4,53.7,Zone 5,34.2,Zone 4,60.3,Zone 5
2025-08-18 00:39:49,NAGALAND,ZUNHEBOTO,ZUNHEBOTO_KVK,21.6,100.0,22.6,Zone 3,42.7,Zone 5,22.6,Zone 3,38.4,Zone 5,27.8,Zone 4,54.2,Zone 5,33.3,Zone 4,60.7,Zone 5,42.7,Zone 5,63.1,Zone 5
2025-08-18 00:39:49,ODISHA,BALASORE,FM_UNIVERSITY,27.0,100.0,31.8,Zone 4,64.5,Zone 5,31.8,Zone 4,63.5,Zone 5,49.5,Zone 5,66.1,Zone 5,61.3,Zone 5,68.0,Zone 5,64.5,Zone 5,69.5,Zone 6
2025-08-18 00:39:49,ODISHA,CUTTACK,CUTTACK_KVK,27.5,100.0,33.2,Zone 4,65.4,Zone 5,33.2,Zone 4,64.4,Zone 5,54.9,Zone 5,66.9,Zone 5,62.3,Zone 5,68.7,Zone 5,65.4,Zone 5,71.1,Zone 6
2025-08-18 00:39:49,ODISHA,GANJAM,BENAKUDA_KVK,26.1,99.0,29.2,Zone 4,62.5,Zone 5,29.2,Zone 4,61.4,Zone 5,38.3,Zone 5,64.3,Zone 5,58.5,Zone 5,66.5,Zone 5,62.5,Zone 5,68.1,Zone 5
2025-08-18 00:39:49,ODISHA,KANDHAMAL,PHULBANI,24.5,100.0,26.3,Zone 4,60.0,Zone 5,26.3,Zone 4,58.6,Zone 5,33.2,Zone 4,62.2,Zone 5,47.0,Zone 5,64.6,Zone 5,60.0,Zone 5,66.5,Zone 5
2025-08-18 00:39:49,MEGHALAYA,WEST_KHASI_HILLS,NONGSTOIN,20.7,93.0,21.1,Zone 3,35.9,Zone 4,21.1,Zone 3,34.8,Zone 4,26.0,Zone 4,44.0,Zone 5,31.1,Zone 4,57.3,Zone 5,35.9,Zone 4,61.1,Zone 5
2025-08-18 00:39:49,MEGHALAYA,WEST_GARO_HILLS,TURA,27.8,100.0,34.8,Zone 4,66.3,Zone 5,34.8,Zone 4,65.3,Zone 5,59.2,Zone 5,67.7,Zone 5,63.4,Zone 5,69.3,Zone 5,66.3,Zone 5,72.8,Zone 6
2025-08-18 00:39:49,MEGHALAYA,SOUTH_WEST_KHASI_HILLS,MAWKYRWAT,19.1,100.0,19.5,Zone 3,34.2,Zone 4,19.5,Zone 3,33.1,Zone 4,24.7,Zone 3,40.0,Zone 5,29.4,Zone 4,53.7,Zone 5,34.2,Zone 4,60.3,Zone 5
2025-08-18 00:39:49,MEGHALAYA,SOUTH_WEST_GARO_HILLS,AMPATI,27.3,99.0,33.0,Zone 4,65.1,Zone 5,33.0,Zone 4,64.2,Zone 5,53.6,Zone 5,66.7,Zone 5,62.1,Zone 5,68.5,Zone 5,65.1,Zone 5,70.7,Zone 6
2025-08-18 00:39:49,MANIPUR,CHANDEL,CHANDEL_KVK,21.0,100.0,22.0,Zone 3,39.6,Zone 5,22.0,Zone 3,36.2,Zone 4,27.1,Zone 4,51.3,Zone 5,32.5,Zone 4,60.1,Zone 5,39.6,Zone 5,62.5,Zone 5
2025-08-18 00:39:49,MANIPUR,CHURACHANDPUR,GELJANG_RESORT,23.1,96.0,24.1,Zone 3,49.9,Zone 5,24.1,Zone 3,45.1,Zone 5,29.9,Zone 4,59.3,Zone 5,35.6,Zone 4,62.1,Zone 5,49.9,Zone 5,64.2,Zone 5
2025-08-18 00:39:49,MANIPUR,IMPHAL_EAST,JIRIBAM,26.4,99.0,30.4,Zone 4,63.3,Zone 5,30.4,Zone 4,62.3,Zone 5,43.0,Zone 5,65.1,Zone 5,59.9,Zone 5,67.1,Zone 5,63.3,Zone 5,68.7,Zone 5
2025-08-18 00:39:49,MANIPUR,IMPHAL_WEST,IMPHAL_AMFU,23.1,99.0,24.3,Zone 3,52.2,Zone 5,24.3,Zone 3,47.4,Zone 5,30.2,Zone 4,59.8,Zone 5,36.0,Zone 4,62.5,Zone 5,52.2,Zone 5,64.6,Zone 5
2025-08-18 00:39:49,MANIPUR,KAMJONG,KAMJONG,18.9,100.0,19.5,Zone 3,34.2,Zone 4,19.5,Zone 3,33.1,Zone 4,24.7,Zone 3,40.0,Zone 5,29.4,Zone 4,53.7,Zone 5,34.2,Zone 4,60.3,Zone 5
2025-08-18 00:39:49,MANIPUR,KANGPOKPI,SAIKUL,21.4,100.0,22.6,Zone 3,42.7,Zone 5,22.6,Zone 3,38.4,Zone 5,27.8,Zone 4,54.2,Zone 5,33.3,Zone 4,60.7,Zone 5,42.7,Zone 5,63.1,Zone 5
2025-08-18 00:39:49,MANIPUR,KANGPOKPI,TUJANGVAICHONG,22.7,100.0,23.7,Zone 3,49.5,Zone 5,23.7,Zone 3,44.7,Zone 5,29.4,Zone 4,59.2,Zone 5,35.1,Zone 4,62.0,Zone 5,49.5,Zone 5,64.2,Zone 5
2025-08-18 00:39:49,MANIPUR,NONEY,KHOUPUM,26.3,85.0,28.8,Zone 4,60.2,Zone 5,28.8,Zone 4,59.1,Zone 5,35.4,Zone 4,62.4,Zone 5,48.1,Zone 5,64.8,Zone 5,60.2,Zone 5,66.6,Zone 5
2025-08-18 00:39:49,MANIPUR,SENAPATI,MAO,19.9,89.0,20.3,Zone 3,34.8,Zone 4,20.3,Zone 3,33.7,Zone 4,25.3,Zone 3,39.2,Zone 5,30.2,Zone 4,52.9,Zone 5,34.8,Zone 4,60.1,Zone 5
2025-08-18 00:39:49,ODISHA,KHURDHA,PITAPALLI,26.8,84.0,29.6,Zone 4,60.9,Zone 5,29.6,Zone 4,59.8,Zone 5,36.3,Zone 4,62.9,Zone 5,51.1,Zone 5,65.2,Zone 5,60.9,Zone 5,67.0,Zone 5
2025-08-18 00:39:49,MANIPUR,TENGNOUPAL,ADC MOREH,24.7,100.0,26.3,Zone 4,60.0,Zone 5,26.3,Zone 4,58.6,Zone 5,33.2,Zone 4,62.2,Zone 5,47.0,Zone 5,64.6,Zone 5,60.0,Zone 5,66.5,Zone 5
2025-08-18 00:39:49,MANIPUR,UKHRUL,MOLNOM,20.6,100.0,21.4,Zone 3,36.8,Zone 5,21.4,Zone 3,35.4,Zone 4,26.4,Zone 4,48.3,Zone 5,31.6,Zone 4,59.5,Zone 5,36.8,Zone 5,61.9,Zone 5
2025-08-18 00:39:49,MEGHALAYA,EAST_GARO_HILLS,WILLIAMNAGAR,25.6,99.0,28.1,Zone 4,61.6,Zone 5,28.1,Zone 4,60.5,Zone 5,35.4,Zone 4,63.5,Zone 5,54.6,Zone 5,65.8,Zone 5,61.6,Zone 5,67.5,Zone 5
2025-08-18 00:39:49,MEGHALAYA,EAST_KHASI_HILLS,MAWRYNGKNENG,22.8,93.0,24.0,Zone 3,47.4,Zone 5,24.0,Zone 3,42.8,Zone 5,29.7,Zone 4,58.1,Zone 5,35.2,Zone 4,61.6,Zone 5,47.4,Zone 5,63.9,Zone 5
2025-08-18 00:39:49,MEGHALAYA,EAST_KHASI_HILLS,MAWSYNRAM,21.2,87.0,21.4,Zone 3,36.1,Zone 4,21.4,Zone 3,35.0,Zone 4,26.4,Zone 4,43.1,Zone 5,31.4,Zone 4,56.5,Zone 5,36.1,Zone 4,60.9,Zone 5
2025-08-18 00:39:49,MEGHALAYA,EAST_KHASI_HILLS,NEHU,22.5,86.0,23.2,Zone 3,39.1,Zone 5,23.2,Zone 3,37.3,Zone 4,28.4,Zone 4,50.8,Zone 5,33.6,Zone 4,60.0,Zone 5,39.1,Zone 5,62.4,Zone 5
2025-08-18 00:39:49,MEGHALAYA,EAST_KHASI_HILLS,SHILLONG,21.5,76.0,21.5,Zone 3,35.8,Zone 4,21.5,Zone 3,34.8,Zone 4,26.6,Zone 4,39.2,Zone 4,31.3,Zone 4,52.6,Zone 5,35.8,Zone 4,60.1,Zone 5
