STATE,DISTRICT,STATION,TEMP,DATE_TEMP,TIME_TEMP,RH,DATE_RH,TIME_RH,LOGGED_AT (IST),EHI (in shade °C),Light Work Heat Stress Zone,EHI_350 (in shade °C),Hard Labor Heat Stress Zone,EHI_3_shade,Zone_3_shade,EHI_3_sun,Zone_3_sun,EHI_4_shade,Zone_4_shade,EHI_4_sun,Zone_4_sun,EHI_5_shade,Zone_5_shade,EHI_5_sun,Zone_5_sun,EHI_6_shade,Zone_6_shade,EHI_6_sun,Zone_6_sun
Andaman And Nicobar,Nicobar,Campbell Bay,26.0,2026-08-31,01:00:00,93.0,2026-08-30,01:00:00,2026-08-31 01:18:56,28.6,Zone 4,61.2,Zone 5,28.6,Zone 4,60.1,Zone 5,35.6,Zone 4,63.2,Zone 5,52.6,Zone 5,65.5,Zone 5,61.2,Zone 5,67.2,Zone 5
Andaman And Nicobar,Nicobar,Car Nicobar,27.7,2026-08-31,01:00:00,85.0,2026-08-30,01:00:00,2026-08-31 01:18:56,30.8,Zone 4,61.9,Zone 5,30.8,Zone 4,60.9,Zone 5,37.7,Zone 4,63.9,Zone 5,56.2,Zone 5,66.1,Zone 5,61.9,Zone 5,67.8,Zone 5
Andaman And Nicobar,Nicobar,Nancowry,38.9,2026-08-31,01:00:00,93.0,2026-08-30,01:00:00,2026-08-31 01:18:56,93.0,Zone 6,103.4,Zone 6,93.0,Zone 6,101.5,Zone 6,96.5,Zone 6,104.9,Zone 6,100.0,Zone 6,108.3,Zone 6,103.4,Zone 6,111.6,Zone 6
Andaman And Nicobar,N M Andaman,Mayabunder,27.1,2026-08-31,01:00:00,94.0,2026-08-30,01:00:00,2026-08-31 01:18:56,30.9,Zone 4,63.1,Zone 5,30.9,Zone 4,62.1,Zone 5,41.8,Zone 5,64.9,Zone 5,59.7,Zone 5,67.0,Zone 5,63.1,Zone 5,68.5,Zone 5
Andaman And Nicobar,South Andaman,Ferrargunj,27.7,2026-08-31,01:00:00,75.0,2026-08-30,01:00:00,2026-08-31 01:18:56,29.6,Zone 4,59.5,Zone 5,29.6,Zone 4,56.9,Zone 5,35.8,Zone 4,61.8,Zone 5,44.7,Zone 5,64.3,Zone 5,59.5,Zone 5,66.2,Zone 5
Andaman And Nicobar,South Andaman,Hut Bay,25.7,2026-08-31,01:00:00,99.0,2026-08-30,01:00:00,2026-08-31 01:18:56,28.1,Zone 4,61.6,Zone 5,28.1,Zone 4,60.5,Zone 5,35.4,Zone 4,63.5,Zone 5,54.6,Zone 5,65.8,Zone 5,61.6,Zone 5,67.5,Zone 5
Andaman And Nicobar,South Andaman,Shaheed Dweep,28.0,2026-08-31,01:00:00,95.0,2026-08-30,01:00:00,2026-08-31 01:18:56,33.7,Zone 4,65.1,Zone 5,33.7,Zone 4,64.1,Zone 5,53.5,Zone 5,66.7,Zone 5,62.0,Zone 5,68.5,Zone 5,65.1,Zone 5,70.7,Zone 6
Andaman And Nicobar,South Andaman,Sri Vijaya Puram Aws400,27.7,2026-08-31,01:00:00,87.0,2026-08-30,01:00:00,2026-08-31 01:18:56,31.0,Zone 4,62.4,Zone 5,31.0,Zone 4,61.3,Zone 5,38.2,Zone 4,64.3,Zone 5,58.3,Zone 5,66.4,Zone 5,62.4,Zone 5,68.1,Zone 5
Andaman And Nicobar,South Andaman,Swaraj Deep,27.6,2026-08-31,01:00:00,76.0,2026-08-30,01:00:00,2026-08-31 01:18:56,29.7,Zone 4,59.8,Zone 5,29.7,Zone 4,57.8,Zone 5,36.0,Zone 4,62.0,Zone 5,45.9,Zone 5,64.4,Zone 5,59.8,Zone 5,66.3,Zone 5
Andhra Pradesh,Alluri Sitharama Raju,Araku Valley,22.7,2026-08-31,01:00:00,93.0,2026-08-30,01:00:00,2026-08-31 01:18:56,23.5,Zone 3,44.1,Zone 5,23.5,Zone 3,39.7,Zone 5,28.9,Zone 4,55.5,Zone 5,34.3,Zone 4,61.0,Zone 5,44.1,Zone 5,63.3,Zone 5
